Number of Iterations,Reward,Lost Data
1.0,-137.9495898,278.9791992
2.0,-137.472793,278.2388672
3.0,-137.4317578,278.0032227
4.0,-240.5206055,535.7998047
5.0,-138.1960352,279.8760742
6.0,-137.7283398,278.118457
7.0,-139.1866797,282.3416992
8.0,-137.4739453,278.2698242
9.0,-135.8624219,273.9480469
10.0,-134.7501172,271.2209961
11.0,-133.1096094,265.9649414
12.0,-133.5474805,268.0081055
13.0,-131.3677148,261.5870117
14.0,-128.5266406,253.9142578
15.0,-128.0386719,253.2436523
16.0,-127.8698828,252.2943359
17.0,-125.2134766,245.5214844
18.0,-122.3690039,238.2601563
19.0,-122.9970898,239.6912109
20.0,-121.2280664,234.7168945
21.0,-119.3260156,229.2574219
22.0,-118.0913281,225.5481445
23.0,-116.1913086,220.5136719
24.0,-115.0067188,217.0529297
25.0,-112.8247461,211.4917969
26.0,-110.5619336,205.6418945
27.0,-110.3438086,204.237207
28.0,-110.0676953,203.4871094
29.0,-107.6531055,197.6325195
30.0,-108.3667773,199.1481445
31.0,-104.1624805,187.9904297
32.0,-102.0863477,182.0261719
33.0,-104.1674219,186.9102539
34.0,-103.0649023,184.2308594
35.0,-103.1751367,183.8106445
36.0,-99.42039063,174.2296875
37.0,-205.7299805,439.6899414
38.0,-100.5154297,176.9477539
39.0,-97.46683594,169.2017578
40.0,-98.73173828,171.4545898
41.0,-98.30886719,169.9323242
42.0,-96.67603516,165.6292969
43.0,-94.28947266,159.0598633
44.0,-95.31775391,162.01875
45.0,-94.38902344,159.3148438
46.0,-93.93472656,158.0228516
47.0,-93.26052734,155.7501953
48.0,-91.35650391,151.0145508
49.0,-92.70957031,153.6977539
50.0,-89.09818359,144.4703125
51.0,-91.46878906,149.7706055
52.0,-93.17890625,153.8066406
53.0,-89.75898438,145.1665039
54.0,-89.72757813,145.4419922
55.0,-87.89755859,139.7353516
56.0,-87.42470703,138.4995117
57.0,-87.87712891,139.640332
58.0,-88.52212891,141.3602539
59.0,-80.97443359,121.3459961
60.0,-86.60394531,134.6568359
61.0,-81.15953125,121.2582031
62.0,-89.20316406,140.759375
63.0,-86.71033203,134.2282227
