Number of Iterations,Reward,Lost Data
1,-140.2528906,285.5345703
2,-138.4754688,280.8517578
3,-137.3114844,278.1859375
4,-137.0914844,277.1867187
5,-139.5304297,283.3646484
6,-138.2107813,280.009375
7,-139.3348828,282.8416016
8,-139.2380078,283.4197266
9,-136.2939063,275.2904297
10,-134.7380859,270.5927734
11,-136.4767188,275.3910156
12,-132.8337109,265.4070313
13,-133.5623828,267.2970703
14,-132.2496875,264.0568359
15,-131.9162109,263.4697266
16,-132.1813281,264.08125
17,-130.4671484,258.9242188
18,-128.9164844,255.1427734
19,-128.8424609,255.3166016
20,-129.8481641,257.6599609
21,-127.8742188,252.5322266
22,-126.835625,249.55
23,-125.3548828,245.7089844
24,-140.4364844,285.3783203
25,-137.7314844,278.8990234
26,-138.0522656,279.2664063
27,-134.4967188,270.1822266
28,-135.9813281,273.7082031
29,-135.7283203,272.5361328
30,-132.4605859,264.7769531
31,-132.6673438,265.2279297
32,-131.7216406,262.9515625
33,-130.1660547,259.2652344
34,-128.2211719,253.2433594
35,-128.4503906,254.0458984
36,-128.9599609,254.7607422
37,-126.6455859,249.2384766
38,-126.6266797,248.4685547
39,-125.0797266,243.9712891
40,-124.8157422,243.3601563
41,-122.6642969,237.6177734
42,-122.0738281,236.3808594
43,-119.7745313,230.48125
44,-119.7267969,229.9957031
45,-120.0974609,230.4853516
46,-116.8232813,222.321875
47,-116.3673047,220.4373047
48,-113.7969141,213.4791016
49,-114.7419141,216.0955078
50,-113.0210938,211.7421875
51,-111.7215234,208.2710938
52,-111.1465625,206.5822266
53,-110.1191406,203.59375
54,-111.1353906,205.6216797
55,-110.4972266,203.7699219
56,-108.8807422,199.6798828
57,-108.5010547,198.5646484
58,-106.8903516,194.4695313
59,-106.0295313,192.1294922
60,-105.7496484,190.6460937
61,-105.2848047,189.0982422
62,-103.4014453,183.4132813
63,-102.4142188,181.1722656
64,-102.7667969,182.3076172
65,-102.5376563,180.9779297
66,-98.6021875,170.2310547
67,-99.09484375,171.5115234
68,-96.405625,164.3783203
69,-139.0889062,282.4878906
70,-138.6458203,281.2507813
71,-138.3436328,280.3048828
72,-136.7092188,276.5435547
73,-137.6658203,278.3564453
74,-137.2437109,277.9798828
75,-137.6020703,279.4177734
76,-139.2355859,282.4419922
77,-136.8563672,276.9675781
78,-138.5526172,281.2277344
79,-139.0503516,282.7113281
80,-138.4071484,281.4011719
81,-137.9410156,279.4667969
82,-134.44125,269.9996094
83,-135.3826953,272.5363281
84,-135.0223438,272.0724609
85,-134.808125,271.7908203
86,-134.5472266,270.4183594
87,-133.9053125,268.4302734
88,-133.2688672,266.8269531
89,-131.5876563,262.5580078
90,-133.9751563,269.2787109
91,-133.575,267.1650391
92,-132.7184766,265.2068359
93,-132.7530078,265.5666016
94,-131.3741016,261.7921875
95,-132.0777344,264.2568359
96,-129.9108984,258.1488281
97,-133.7899219,268.0978516
98,-130.5066406,259.8652344
99,-131.8714844,263.0917969
100,-129.9234766,258.4439453
101,-323.0452734,741.0970703
102,-130.8733203,260.1740234
103,-129.2805469,255.9796875
104,-129.0333594,255.3617188
105,-128.6128906,253.4511719
106,-129.5672656,256.6330078
107,-128.8372266,254.2488281
108,-129.9174219,257.7574219
109,-128.2671484,253.4486328
110,-128.1160938,252.2042969
111,-127.0978125,249.7269531
112,-127.2964844,250.3115234
113,-127.7635938,251.8699219
114,-126.6842578,248.5587891
115,-126.9392578,249.0107422
116,-125.2001953,244.5605469
117,-138.3117009,280.5831378
118,-137.5536657,278.8365103
119,-137.2700293,277.9294721
120,-137.2052786,276.9208211
121,-134.6424047,270.3743402
122,-136.7502933,275.744868
123,-135.2668328,272.4064516
124,-133.631173,267.8994135
125,-133.2672727,267.2297654
126,-132.6522287,265.3127566
127,-130.6405865,260.1205279
128,-282.2051906,639.0595308
129,-130.4238123,259.4576246
130,-130.1148094,258.2214076
131,-128.5440762,254.4045455
132,-128.2780645,253.5030792
133,-125.9614663,246.9967742
134,-125.0997947,244.9800587
135,-124.0754839,241.8492669
136,-123.1791202,239.0218475
137,-123.7816129,241.3107038
138,-123.1341642,238.9552786
139,-121.7280938,235.141349
140,-122.0434018,236.4171554
141,-117.0594135,222.1829912
142,-116.7470381,221.5230205
143,-116.5824633,221.0639296
144,-118.9729912,227.2766862
145,-112.8272141,210.6860704
146,-113.9966569,213.1917889
147,-113.9209384,213.3104106
148,-115.0446041,216.7995601
149,-113.5896774,212.8304985
150,-112.2946334,208.2934018
151,-109.2119648,200.4492669
152,-109.4796188,200.5923754
153,-110.9781232,204.0765396
154,-109.7020821,200.6829912
155,-110.4307625,202.764956
156,-106.3703519,191.8441349
157,-106.0153959,190.483871
158,-105.2924927,189.0303519
159,-105.6555132,189.4118768
160,-104.207478,185.318915
161,-103.5364809,183.1447214
162,-100.5499707,175.9753666
163,-100.7786804,176.4866569
164,-101.1831085,178.1997067
165,-102.6791202,181.7857771
166,-99.44759531,172.1032258
167,-101.6493842,178.4526393
168,-98.32143695,169.5737537
169,-96.79941349,165.9831378
170,-103.6662463,184.0538123
171,-98.06278592,168.4249267
172,-96.48645161,163.5695015
173,-96.22,162.9290323
174,-95.35841642,160.9693548
175,-94.2172434,157.2916422
176,-90.66052786,148.3045455
177,-90.36357771,146.2865103
178,-89.84228739,146.05
179,-92.68331378,152.9674487
180,-91.64296188,149.2741935
181,-89.6926393,144.3617302
182,-87.60879765,139.3592375
183,-87.8701173,139.490176
184,-89.24120235,143.9992669
185,-90.59307918,146.3397361
186,-86.8088563,136.6445748
187,-87.10313783,136.2604106
188,-88.68979472,139.9979472
189,-88.95249267,141.3951613
190,-88.41258065,139.4607038
191,-86.87167155,134.701173
192,-85.06956012,130.7164223
193,-88.65079179,141.1980938
194,-83.37853372,127.141349
195,-83.45545455,126.4483871
196,-85.48970674,131.6366569
197,-86.96395894,134.8054252
198,-83.72706745,125.2285924
199,-81.70923754,120.5615836
200,-84.25677419,128.1089443
201,-81.77316716,121.1429619
202,-81.11868035,119.0558651
203,-82.13668622,120.8457478
204,-80.2686217,116.005132
205,-82.51938416,121.3809384
206,-84.7056305,126.5917889
207,-81.26255132,117.0695015
208,-79.77674487,113.890176
209,-87.10152493,132.0536657
210,-85.24645161,126.2356305
211,-79.68580645,112.8068915
212,-79.63542522,111.9881232
213,-80.07378299,112.9410557
214,-77.66961877,106.5127566
215,-76.92800587,104.9464809
216,-77.5359824,105.8909091
217,-83.44542522,121.5002933
218,-84.38791789,125.0423754
219,-77.53035191,105.9208211
220,-78.52747801,107.7354839
221,-79.69099707,111.0695015
222,-78.8642522,109.3875367
223,-82.22348974,117.7782991
224,-84.92111437,122.4824047
225,-75.61777126,100.0708211
226,-80.61683284,114.0127566
227,-77.07290323,104.1412023
228,-77.41316716,105.1916422
229,-75.97809384,101.2227273
230,-82.78266862,117.105132
231,-79.81155425,109.0743402
232,-74.021261,94.6297654
233,-76.99615836,102.7524927
234,-76.15759531,99.84780059
235,-73.58255132,93.70894428
236,-77.72202346,103.3318182
237,-78.85791789,106.5967742
238,-71.21234604,86.68739003
239,-77.41041056,101.8526393
240,-78.25648094,104.2152493
241,-190.5171554,384.6854839
242,-80.90008798,110.5328446
243,-78.68281525,104.8228739
244,-80.93134897,111.3807918
245,-71.64958944,87.49457478
246,-78.30759531,103.3771261
247,-78.36498534,104.1529326
248,-73.76460411,91.99398827
249,-75.31173021,95.90029326
250,-76.91607038,99.55190616
251,-74.92636364,94.6931085
252,-78.4740176,103.578739
253,-71.75173021,86.36612903
254,-73.5327566,91.20909091
255,-76.93222874,99.84706745
256,-80.69648094,108.7719941
257,-79.73252199,106.3785924
258,-77.1872434,99.61217009
259,-74.73809384,94.25909091
260,-75.74067449,95.37258065
261,-72.12319648,86.50117302
262,-72.25513196,86.38929619
263,-76.52601173,97.5888563
264,-77.81134897,99.84178886
265,-79.21196481,103.4111437
266,-75.88970674,95.28328446
267,-75.9016129,95.07844575
268,-73.10580645,88.178739
269,-74.03697947,91.29296188
270,-79.8273607,104.9734604
271,-71.74953079,84.56260997
272,-71.22343109,83.75322581
273,-75.7144868,94.41451613
274,-76.2001173,96.24076246
275,-73.40639296,88.43900293
276,-74.25102639,90.53958944
277,-73.74636364,90.23651026
278,-74.04381232,89.67697947
279,-75.97152493,94.97096774
280,-71.7459824,85.17507331
281,-73.76548387,88.95
282,-78.99363636,101.9030792
283,-75.17958944,92.98196481
284,-75.66205279,94.04882698
285,-74.21129032,90.09017595
286,-79.58155425,103.490176
287,-73.47032258,88.29457478
288,-77.19521994,96.92683284
289,-73.87431085,88.67404692
290,-73.80554252,88.51495601
291,-76.57595308,95.78005865
292,-73.53747801,86.84222874
293,-75.7759824,92.62727273
294,-74.98920821,90.59985337
295,-81.38627566,106.379912
296,-75.50868035,91.05542522
297,-71.70609971,81.84956012
298,-75.52120235,90.83929619
299,-73.97920821,87.93739003
300,-74.79460411,89.19325513
301,-71.01835777,79.86627566
302,-76.09243402,92.59178886
303,-72.5059824,83.08680352
304,-64.14428152,62.18621701
305,-72.33545455,82.15278592
306,-74.89067449,88.56832845
307,-71.65073314,81.1356305
308,-78.69677419,97.69134897
309,-75.96454545,91.00557185
310,-70.62607038,77.77668622
311,-75.61727273,89.80747801
312,-71.39756598,79.70909091
313,-69.54102639,75.41964809
314,-77.99,95.4643695
315,-76.75181818,92.52653959
316,-73.54372434,84.41099707
317,-78.52032258,96.85615836
318,-71.69865103,79.54721408
319,-74.38809384,86.50175953
320,-79.86876833,99.78739003
321,-71.80178886,79.92785924
322,-70.28692082,76.1058651
323,-75.32721408,88.66627566
324,-72.91730205,83.49560117
325,-71.09334311,77.80483871
326,-71.48747801,78.96246334
327,-69.0529912,73.01920821
328,-77.19208211,92.54032258
329,-69.07879765,72.80879765
330,-72.61944282,81.7813783
331,-73.4155132,83.27302053
332,-68.06624633,69.621261
333,-74.74800587,86.31466276
334,-77.11595308,92.08607038
335,-76.61281525,90.90703812
336,-70.58768328,75.96334311
337,-69.80797654,73.91143695
338,-78.14381232,94.24882698
339,-72.52231672,80.39120235
340,-71.68017595,78.46730205
341,-75.75668622,88.58709677
342,-71.73038123,78.47184751
343,-82.08390029,103.8002933
344,-76.22695015,89.38152493
345,-73.74073314,83.33460411
346,-69.40014663,72.22653959
347,-76.08583578,88.84912023
348,-70.07677419,73.67434018
349,-71.92583578,78.3941349
350,-73.27656891,81.22844575
351,-71.71897361,77.09985337
352,-71.3985044,76.7898827
353,-79.34662757,96.04985337
354,-68.99454545,70.12932551
355,-68.71445748,69.3026393
356,-74.94897361,84.98973607
357,-70.90630499,74.99120235
358,-76.25369501,88.70791789
359,-77.83354839,92.79501466
360,-71.07627566,75.40146628
361,-147.5041056,266.2382698
362,-78.6113783,93.54457478
363,-71.78656891,76.58519062
364,-69.23624633,70.23504399
365,-75.70070381,86.26422287
366,-76.70173021,88.89692082
367,-77.85158358,91.33533724
368,-77.68155425,90.81129032
369,-75.00835777,84.25659824
370,-68.71835777,69.16026393
371,-70.70478006,73.17507331
372,-72.06014663,76.92272727
373,-75.96777126,86.03929619
374,-71.48290323,75.21935484
375,-61.97982405,52.05
376,-70.0797654,71.91495601
377,-80.80170088,98.11129032
378,-69.95914956,71.54560117
379,-68.02140762,66.43548387
380,-74.89272727,83.49648094
381,-76.02307918,86.61744868
382,-73.62170088,81.71187683
383,-67.51029326,65.45645161
384,-67.96741935,66.49296188
385,-72.52108504,77.82580645
386,-76.34615836,86.78914956
387,-70.05173021,71.46730205
388,-72.25058651,76.92961877
389,-76.65568915,87.85806452
390,-69.20835777,69.30571848
391,-68.878739,68.48167155
392,-73.49164223,80.05058651
393,-72.80909091,78.59164223
394,-69.16973607,69.2
395,-81.3644868,99.43211144
396,-75.61914956,85.2483871
397,-62.94278592,54.05967742
398,-73.588739,79.82228739
399,-73.6101173,79.74560117
400,-73.7031085,80.03123167
401,-69.17982405,68.73035191
402,-69.61565982,69.64398827
403,-71.84404692,74.71642229
404,-70.22785924,71.29545455
405,-75.57642229,84.15366569
406,-70.74536657,72.4297654
407,-76.89985337,87.66202346
408,-77.85507331,89.90527859
409,-76.8602346,87.35219941
410,-68.97791789,67.53826979
411,-72.89527859,77.37932551
412,-78.67865103,91.32639296
413,-67.5216129,63.89750733
414,-70.43390029,70.74017595
415,-76.89381232,87.04208211
416,-69.19190616,68.2143695
417,-68.76560117,67.06612903
418,-75.85762463,84.16935484
419,-72.54008798,75.92316716
420,-77.30671554,87.68944282
421,-69.25489736,67.39677419
422,-71.61665689,73.65307918
423,-70.39041056,70.71026393
424,-72.27565982,74.97067449
425,-73.28492669,77.49384164
426,-75.44269795,82.76363636
427,-71.29090909,72.50879765
428,-70.29184751,70.15410557
429,-72.89222874,76.46627566
430,-78.08727273,88.76656891
431,-67.65756598,63.11935484
432,-72.57316716,75.29105572
433,-70.84319648,71.40967742
434,-71.68730205,72.95542522
435,-72.44067449,74.61891496
436,-73.91460411,78.75278592
437,-68.99008798,66.12624633
438,-75.9388563,83.26906158
439,-68.62982405,65.70395894
440,-69.61703812,67.68079179
441,-70.90970674,70.6228739
442,-71.23076246,71.53548387
443,-76.21592375,83.87741935
444,-68.74633431,65.50953079
445,-69.24079179,66.38826979
446,-73.32457478,76.66187683
447,-78.61170088,89.5516129
448,-78.16645161,88.52829912
449,-70.66900293,70.04677419
450,-71.39900293,71.40439883
451,-71.64304985,72.17214076
452,-68.15956012,63.61187683
453,-75.40668622,81.67653959
454,-73.85841642,77.4356305
455,-71.29472141,71.18035191
456,-72.04815249,73.18123167
457,-72.23923754,73.40601173
458,-71.71521994,72.14545455
459,-75.27049853,80.95483871
460,-73.71469208,77.05982405
461,-67.20225806,60.68709677
462,-74.05932551,77.78577713
463,-70.52278592,69.08005865
464,-65.77243402,56.95307918
465,-69.2185044,65.51876833
466,-76.21041056,82.91422287
467,-64.96158358,55.43914956
468,-69.28434018,65.65219941
469,-67.15205279,60.52859238
470,-75.60252199,81.13240469
471,-72.36129032,73.57184751
472,-61.96155425,47.7356305
473,-71.30785924,70.78797654
474,-82.6185044,98.86480938
475,-73.30545455,75.50703812
476,-73.06419355,74.77375367
477,-66.81055718,59.53005865
478,-69.07316716,65.03445748
479,-72.13507331,72.85234604
480,-65.16164223,55.55806452
481,-72.65214076,73.72346041
482,-73.48577713,75.75439883
483,-71.07797654,69.81554252
484,-71.24067449,70.33225806
485,-64.57656891,53.84061584
486,-70.25653959,67.97639296
487,-67.77797654,61.59120235
488,-72.56568915,73.60630499
489,-74.86375367,79.28914956
490,-69.79442815,66.55351906
491,-71.39589443,70.20527859
492,-72.91771261,74.31041056
493,-76.06970674,82.00527859
494,-73.01765396,74.54193548
495,-68.49325513,63.48753666
