,Lost Data,Number of Iterations,Reward
0,283.8810059,1,-139.7245215
1,277.3658203,2,-137.2988672
2,274.9123535,3,-136.2789063
3,270.5043945,4,-134.8509277
4,266.4731934,5,-133.1949902
5,261.998584,6,-131.662959
6,255.9601074,7,-129.2558691
7,249.8712891,8,-127.0769336
8,245.6464355,9,-125.5700977
9,242.192627,10,-124.3577637
10,236.7388184,11,-122.4679883
11,232.8726074,12,-120.9036816
12,246.4475098,13,-126.5567871
13,226.7237793,14,-118.6423926
14,220.0163086,15,-116.2648242
15,218.3383301,16,-115.9010059
16,215.0174316,17,-114.8211816
17,209.5280273,18,-112.6417773
18,204.3902832,19,-110.9045508
19,198.7856934,20,-108.5931348
20,193.4111816,21,-106.7038281
21,188.5640625,22,-105.0459863
22,187.0447266,23,-104.4270215
23,182.2223633,24,-102.6745898
24,181.3412109,25,-102.4654395
25,177.089209,26,-100.9672754
26,172.0877441,27,-99.09852539
27,171.8304688,28,-99.15552734
28,160.463623,29,-95.01601563
29,160.0274902,30,-95.08375
30,158.5973145,31,-94.84078125
31,158.5992187,32,-95.01561523
32,150.3365234,33,-91.77523438
33,151.6769531,34,-92.51013672
34,148.0683105,35,-90.99880859
35,142.7210938,36,-89.19292969
36,141.5422363,37,-88.80170898
37,145.991748,38,-90.74313477
38,138.4700684,39,-87.95589844
39,147.382666,40,-91.58832031
40,140.8501465,41,-88.97116211
41,132.6404297,42,-85.81276367
42,135.6632324,43,-87.38223633
43,134.1977051,44,-86.729375
44,132.4615234,45,-86.26854492
45,129.5688965,46,-85.21134766
46,136.66875,47,-88.14162109
47,132.6237305,48,-86.50359375
48,134.1191895,49,-87.24313477
49,127.675,50,-84.60051758
50,126.8015625,51,-84.3678418
51,128.6603516,52,-85.08206055
52,127.598584,53,-84.60510742
53,124.1960449,54,-83.41425781
54,127.5351563,55,-84.70717773
55,130.960791,56,-86.12918945
56,126.4442383,57,-84.43902344
57,126.9019531,58,-84.64603516
58,125.7823242,59,-84.31024414
59,126.5773926,60,-84.6878418
60,126.5772949,61,-84.7759375
61,128.255957,62,-85.47743164
62,126.903125,63,-84.87746094
63,119.3554199,64,-82.0446582
64,127.2791504,65,-85.31083008
65,121.3431152,66,-82.72450195
66,121.8257813,67,-82.76131836
67,121.4149902,68,-82.77864258
68,131.6952148,69,-86.9512793
69,121.4178223,70,-82.59227539
70,117.417041,71,-81.11061523
71,120.3758789,72,-82.47432617
72,126.0984863,73,-84.48333984
73,127.3517578,74,-85.16335938
74,119.527002,75,-82.27344727
75,121.5736816,76,-83.08381836
76,115.408252,77,-80.67306641
77,116.9248535,78,-81.3534375
78,123.4134766,79,-84.00992188
79,121.0670898,80,-83.07014648
80,124.2938965,81,-84.46291992
81,119.1249023,82,-81.95928711
82,117.4200195,83,-81.31761719
83,120.5952637,84,-82.68708008
84,116.2143555,85,-81.11904297
85,115.7064453,86,-80.96983398
86,114.8899902,87,-80.65936523
87,123.9438965,88,-84.33415039
88,120.8768066,89,-83.10731445
89,127.5464355,90,-85.57570313
90,113.463623,91,-79.83051758
91,126.421875,92,-84.88979492
92,117.7572754,93,-81.52893555
93,118.2435059,94,-81.8259668
94,120.5039551,95,-82.54264648
95,117.8939453,96,-81.6622168
96,119.7292969,97,-82.42736328
97,114.9803223,98,-80.34564453
98,118.9477051,99,-81.87473633
99,119.4062988,100,-82.20172852
100,116.470752,101,-80.93229492
101,119.8311523,102,-82.36483398
102,243.3095703,103,-131.7156738
103,121.0101074,104,-82.88670898
104,122.3635742,105,-83.22521484
105,122.3556641,106,-83.1602832
106,119.4743652,107,-82.24116211
107,120.7257813,108,-82.56106445
108,125.4617187,109,-84.4503125
109,121.2731445,110,-82.75632813
110,121.8523926,111,-83.11083008
111,126.345752,112,-84.84274414
112,124.7708984,113,-83.87930664
113,117.9696289,114,-81.49644531
114,121.920166,115,-82.92651367
115,122.5571289,116,-83.37490234
116,119.1152832,117,-82.2015332
117,123.8745605,118,-84.12331055
118,120.1503906,119,-82.7605957
119,121.8375488,120,-83.28799805
120,117.2263672,121,-81.41056641
121,119.0375488,122,-82.10378906
122,119.4168457,123,-82.38490234
123,116.3936035,124,-81.29010742
124,116.5616211,125,-81.14295898
125,114.3393555,126,-80.18300781
126,120.2853516,127,-82.69104492
127,118.6438965,128,-81.89945313
128,128.6916016,129,-85.7390918
129,115.592041,130,-80.55053711
130,123.7378906,131,-83.64115234
131,124.3152344,132,-84.16994141
132,117.9140137,133,-81.70051758
133,119.1507324,134,-82.34974609
134,118.8338379,135,-82.15560547
