,Lost Data,Number of Iterations,Reward
0,281.2472168,1,-138.7723242
1,279.5140137,2,-138.1903711
2,273.7864258,3,-136.0443555
3,269.8195313,4,-134.4910449
4,266.8037598,5,-133.4153516
5,262.2718262,6,-131.7244043
6,257.912207,7,-130.1980859
7,252.2266602,8,-128.0430078
8,248.547168,9,-126.7701855
9,242.5324707,10,-124.4719727
10,240.3312012,11,-123.7799414
11,234.4177734,12,-121.459248
12,231.0286621,13,-120.2461816
13,226.2351563,14,-118.5211621
14,219.230127,15,-115.9696387
15,218.5352051,16,-115.7397656
16,217.1048828,17,-115.4078711
17,213.9147461,18,-114.1410938
18,209.9703613,19,-112.6761328
19,202.5352539,20,-109.8129297
20,198.9583984,21,-108.6094824
21,193.776123,22,-106.8029297
22,204.7757813,23,-111.4698828
23,184.9366211,24,-103.6518945
24,179.8060547,25,-101.7600684
25,176.6978516,26,-100.7130762
26,174.3203613,27,-99.8890332
27,274.3382324,28,-139.9984766
28,171.4294434,29,-98.68505859
29,167.3438965,30,-97.47686523
30,167.3833496,31,-97.59591797
31,158.9317383,32,-94.28412109
32,158.3008789,33,-94.37796875
33,158.5289063,34,-94.53729492
34,154.2655762,35,-92.95574219
35,157.3633789,36,-94.22611328
36,152.0450195,37,-92.21083008
37,155.6489746,38,-93.59210938
38,148.9823242,39,-91.24454102
39,145.8242188,40,-89.98520508
40,145.6352539,41,-90.1125
41,142.5901855,42,-88.87542969
42,141.4851074,43,-88.83208008
43,143.0535156,44,-89.53097656
44,138.240918,45,-87.67112305
45,134.8061035,46,-86.50105469
46,139.7621582,47,-88.35017578
47,139.0428711,48,-88.38399414
48,137.8450684,49,-87.8955957
49,133.0427246,50,-85.98686523
50,133.1986816,51,-86.30535156
51,134.3992188,52,-86.82145508
52,133.7493164,53,-86.70895508
53,130.8662598,54,-85.49787109
54,128.4680664,55,-84.73415039
55,131.7400879,56,-85.86791016
56,125.8868652,57,-83.71241211
57,134.9471191,58,-87.26717773
58,131.4036133,59,-85.69352539
59,132.9631348,60,-86.32392578
60,130.3671387,61,-85.28210938
61,129.5842285,62,-85.07954102
62,132.017041,63,-85.99382813
63,125.9629883,64,-83.6080957
64,127.6324219,65,-84.2846582
65,123.4232422,66,-82.69766602
66,123.1399902,67,-82.59730469
67,125.986377,68,-83.73512695
68,129.6104004,69,-85.15666016
69,127.8501953,70,-84.38739258
70,126.4571777,71,-83.74864258
71,128.4245117,72,-84.59270508
72,130.5591797,73,-85.51883789
73,129.6245605,74,-85.31125
74,132.8254395,75,-86.38505859
75,125.5700684,76,-83.60644531
76,129.460498,77,-85.3315625
77,133.1054199,78,-86.65476563
78,126.970752,79,-84.22970703
79,124.0573242,80,-83.11072266
80,126.598291,81,-84.08755859
81,126.237207,82,-83.82422852
82,122.4498047,83,-82.42108398
83,130.3246094,84,-85.7275
84,124.4153809,85,-83.45121094
85,119.9484375,86,-81.88733398
86,118.7665527,87,-81.3515918
87,123.1635742,88,-83.20146484
88,121.2499512,89,-82.57883789
89,128.1579102,90,-85.44626953
90,116.4077148,91,-80.63022461
91,124.5114746,92,-83.92861328
92,111.7331055,93,-79.2437793
93,118.7897461,94,-81.81960938
94,115.5181641,95,-80.52831055
95,113.927832,96,-80.13924805
96,117.7876465,97,-81.65827148
97,121.5373535,98,-83.24506836
98,118.7181641,99,-82.07637695
99,116.2240234,100,-81.11607422
100,112.5479492,101,-79.57972656
101,120.1788574,102,-82.57081055
102,122.6109863,103,-83.49532227
103,121.9554688,104,-83.12666992
104,119.8294922,105,-82.1669043
105,117.9934082,106,-81.39414063
106,115.3891113,107,-80.58582031
107,123.4155273,108,-83.75854492
108,119.5055176,109,-82.10225586
109,118.3284668,110,-81.63460938
110,122.2150391,111,-83.27712891
111,112.9451172,112,-79.58966797
112,115.6352539,113,-80.68574219
113,121.330127,114,-83.02863281
114,125.0365234,115,-84.48140625
115,121.4561523,116,-83.11297852
116,119.4189453,117,-82.33105469
117,119.9719727,118,-82.48708008
118,118.2447754,119,-81.48370117
119,123.1916992,120,-83.45832031
120,121.5705566,121,-82.55351563
121,118.6483398,122,-81.26451172
122,119.3962402,123,-81.49311523
123,123.3503418,124,-83.18828125
124,126.4231934,125,-84.18890625
125,189.7550293,126,-109.576084
126,125.4858398,127,-83.97290039
127,129.3374512,128,-85.21129883
128,131.8142578,129,-86.02306641
129,129.5845703,130,-85.25863281
130,136.8532227,131,-88.17683594
131,129.5138184,132,-85.33238281
132,125.2620117,133,-83.60480469
133,126.6112305,134,-84.04024414
134,125.0082031,135,-83.40708984
135,128.8234863,136,-84.83139648
136,133.0568848,137,-86.67758789
137,127.9456055,138,-84.62355469
138,126.1381348,139,-83.9828418
139,126.9714844,140,-84.43214844
140,125.9568848,141,-84.19574219
141,120.1552734,142,-81.61533203
142,125.4300781,143,-84.1224707
143,122.3815918,144,-82.96850586
144,117.9854004,145,-80.97638672
145,124.9819336,146,-83.87802734
146,117.3035645,147,-80.81644531
147,124.7168457,148,-83.83766602
148,118.341748,149,-81.39260742
149,121.5935547,150,-82.62423828
150,121.641748,151,-82.83394531
151,117.8801758,152,-81.59616211
152,117.7643066,153,-81.51954102
153,119.8104492,154,-82.66832031
154,118.3931152,155,-81.79669922
155,116.5882813,156,-81.15899414
156,118.8818359,157,-81.99560547
157,122.3061523,158,-83.39072266
158,116.3633789,159,-81.12079102
159,154.9236328,160,-96.49191406
160,122.1213867,161,-83.11637695
161,116.1751953,162,-80.75157227
162,127.7396484,163,-85.50381836
163,126.2474609,164,-84.85738281
164,118.2407715,165,-81.69889648
165,129.1072754,166,-86.07796875
166,122.1167969,167,-83.0615625
167,125.5213867,168,-84.61895508
168,248.083252,169,-133.4076172
169,124.0944824,170,-83.95712891
170,126.3091309,171,-84.826875
171,124.5873535,172,-84.23533203
172,115.4318359,173,-80.77283203
173,120.5732422,174,-82.67094727
174,123.2247559,175,-83.88926758
175,123.0751953,176,-83.74692383
176,121.0108398,177,-82.80741211
177,122.2176758,178,-83.4278418
178,120.1607422,179,-82.59530273
179,123.1711426,180,-83.89882813
180,118.1158203,181,-81.69286133
181,117.6046387,182,-81.46421875
182,120.0774902,183,-82.66014648
183,122.1131836,184,-83.5505957
184,120.9569824,185,-83.22336914
185,123.4231934,186,-84.18788086
186,123.1491211,187,-83.84216797
187,125.0410156,188,-84.57255859
188,118.5909668,189,-81.95933594
189,128.6053711,190,-86.20362305
190,132.545752,191,-87.26146484
191,122.5860352,192,-83.2197168
192,125.3307129,193,-84.40987305
193,123.2691406,194,-83.5771875
194,121.9782715,195,-82.97758789
195,113.7084473,196,-80.0031543
196,116.0526855,197,-81.01042969
197,121.5939453,198,-83.23328125
198,117.7373535,199,-81.84274414
199,118.4654785,200,-82.33125977
200,124.1030273,201,-84.83310547
201,114.3564941,202,-80.89152344
202,118.8702148,203,-82.62621094
203,251.1336426,204,-135.4268457
204,125.6068359,205,-84.97466797
205,127.4679199,206,-85.7271582
206,120.3920898,207,-82.98105469
207,115.3250977,208,-80.65787109
208,247.1628418,209,-133.6610352
209,122.0720703,210,-83.23458984
210,123.088623,211,-84.17197266
211,257.8358887,212,-137.9934863
212,124.3651855,213,-84.6515918
213,123.936084,214,-84.4115918
214,117.1496094,215,-81.68699219
215,120.0673828,216,-82.89633789
216,119.9000488,217,-82.76397461
217,118.2605957,218,-82.25394531
218,114.4091309,219,-80.76780273
219,113.1948242,220,-80.20517578
220,120.4912598,221,-83.18283203
221,113.357959,222,-80.63615234
222,116.2132324,223,-81.74237305
223,116.1998047,224,-82.05121094
224,109.8932129,225,-79.5459082
225,117.334375,226,-82.51138672
226,116.5647461,227,-82.38737305
227,120.1158203,228,-83.58368164
228,113.6989746,229,-81.17124023
229,110.0804688,230,-79.73921875
230,117.443457,231,-82.96102539
231,111.8411133,232,-80.69665039
232,112.7296875,233,-81.12727539
233,237.5245117,234,-131.2366113
234,115.2841797,235,-82.25698242
235,113.9773926,236,-81.80262695
236,117.592627,237,-83.47625977
237,108.0151855,238,-79.83424805
238,106.3952637,239,-78.95776367
