,Lost Data,Number of Iterations,Reward
0,282.0031235,1,-139.001103
1,277.3929234,2,-137.270981
2,276.3666667,3,-137.1445193
3,274.3657394,4,-136.4058858
4,267.3173255,5,-133.8036994
5,267.3050756,6,-133.9481406
6,265.4336262,7,-133.0536359
7,261.8621279,8,-131.7697413
8,257.4298682,9,-130.354817
9,255.5477794,10,-129.4218936
10,255.9122499,11,-129.7880332
11,251.6026842,12,-128.1366813
12,250.7976574,13,-127.7866081
13,247.4397267,14,-126.8128843
14,251.1367008,15,-127.9297901
15,244.4043436,16,-125.6707174
16,239.8001952,17,-123.8556564
17,237.6330405,18,-123.3052904
18,233.9223524,19,-122.0689409
19,228.6503172,20,-120.2131772
20,230.4009273,21,-120.7194241
21,223.92694,22,-118.6205564
22,230.7863348,23,-120.7789068
23,229.3438751,24,-120.2007028
24,227.4362616,25,-119.8346803
25,218.4798926,26,-116.6725817
26,229.7918985,27,-120.537062
27,217.1959492,28,-116.1038555
28,219.3077599,29,-116.8692728
29,218.0221083,30,-116.2947389
30,214.0409956,31,-115.1393363
31,209.8729136,32,-113.5838653
32,219.3174719,33,-116.4617374
33,196.0560761,34,-108.883387
34,199.9295754,35,-110.3883748
35,211.4289409,36,-114.2975403
36,196.8289409,37,-109.568082
37,205.5621279,38,-112.1370034
38,183.5830649,39,-105.0435237
39,193.4778917,40,-108.4131186
40,187.3033187,41,-105.9435334
41,187.204734,42,-106.1203026
42,191.9317228,43,-107.3612689
43,194.4870181,44,-108.64449
44,187.4725232,45,-106.542938
45,186.4295266,46,-105.701142
46,308.3454368,47,-154.9384675
47,177.3896535,48,-103.0544461
48,212.0135676,49,-113.7563787
49,175.1799414,50,-102.0758809
50,172.4123963,51,-101.2572962
51,184.9665691,52,-105.6293802
52,183.0920449,53,-104.3890874
53,184.7790142,54,-105.517999
54,165.7951196,55,-99.51180088
55,177.0716935,56,-102.4582528
56,182.5709126,57,-104.2428599
57,195.1672523,58,-109.0083358
58,168.5225476,59,-100.0320059
59,148.3425085,60,-93.58444119
60,161.2615422,61,-98.27304051
61,166.6676916,62,-99.58703758
62,168.2791118,63,-100.1940264
63,169.6816008,64,-100.4707369
64,215.7328453,65,-114.1757638
65,174.1233285,66,-101.7652416
66,172.6174231,67,-101.2275451
67,176.0653001,68,-101.6315861
68,145.029673,69,-92.51528551
69,186.3552465,70,-105.5169644
70,145.8789165,71,-92.47967789
71,158.3600781,72,-98.06877501
72,160.8229868,73,-97.4958614
73,186.2836994,74,-105.3094778
74,171.7429478,75,-100.9512055
75,144.7309907,76,-92.40703758
76,147.088287,77,-93.19085408
77,147.5498292,78,-92.82373841
78,152.3193753,79,-94.74668619
79,154.0359688,80,-96.15709126
80,145.4414837,81,-92.84106393
81,151.6704734,82,-95.0459346
82,159.3729624,83,-98.07446559
83,128.9543192,84,-87.30939971
84,146.8547096,85,-93.15110786
85,129.6962421,86,-87.9724451
86,126.1484627,87,-86.20365056
87,149.5891654,88,-95.52258663
88,156.2646657,89,-96.68741825
89,154.9287457,90,-96.39145925
90,152.9342118,91,-96.2119961
91,136.5144461,92,-90.57356759
92,139.0758419,93,-90.25332357
93,130.7476818,94,-88.14021474
94,137.7045388,95,-91.41466081
95,136.9834553,96,-89.78532943
96,121.1513909,97,-85.00618838
97,119.5736457,98,-84.46513421
98,113.3805271,99,-81.94493899
99,129.495754,100,-88.51889702
100,120.4469009,101,-85.64776964
101,134.4164959,102,-88.96669595
102,114.5939971,103,-83.6179795
103,106.8012201,104,-80.69120547
104,133.6645681,105,-89.64420693
105,131.3876037,106,-88.67534407
106,121.5042948,107,-85.17443631
107,141.7508053,108,-93.71227916
108,134.1928746,109,-89.8574817
109,131.3148853,110,-90.32122011
110,121.3151293,111,-85.99798926
111,150.9282089,112,-97.05503172
112,118.4541728,113,-84.61592972
113,109.8216203,114,-82.15265983
114,110.1737433,115,-81.82523182
115,129.3812592,116,-88.33278673
116,121.8882382,117,-86.29165447
117,122.7060029,118,-86.8054368
118,115.4958516,119,-84.42942899
119,125.5029771,120,-87.62944851
120,134.1228404,121,-90.63303075
121,112.7126891,122,-82.68488043
122,118.6420693,123,-85.92193265
123,106.7841386,124,-79.9415715
124,128.0776964,125,-87.95509029
125,129.5547096,126,-89.78918497
126,124.5681308,127,-87.87239629
127,126.8108834,128,-86.42323084
128,125.5169351,129,-86.96250854
129,135.3733529,130,-90.54270376
130,110.9111274,131,-82.65947291
131,128.7427526,132,-89.76576867
132,131.458858,133,-89.08305515
133,132.4596877,134,-87.85503172
134,118.3115666,135,-85.84878477
135,107.7627135,136,-80.96721327
136,134.8696437,137,-91.51081503
137,132.4647145,138,-89.25284529
138,132.2075159,139,-89.14776964
139,149.7409956,140,-95.08624695
140,101.559102,141,-79.25272816
141,133.9286481,142,-90.8015715
142,174.4088336,143,-101.1608004
143,131.1699366,144,-90.28178624
144,128.4636408,145,-86.77174231
145,133.0307955,146,-89.29430942
146,156.0110298,147,-96.52398243
147,129.7557833,148,-89.15463153
148,116.3510981,149,-83.94014641
149,131.9885798,150,-89.58069302
150,116.0207418,151,-83.67818448
151,129.5421669,152,-88.93790142
152,122.8195705,153,-85.84695949
153,137.2055637,154,-90.95616398
154,101.5815032,155,-79.62186432
155,118.2962421,156,-85.47515861
156,130.2308931,157,-89.12066374
157,93.8715471,158,-77.58741825
158,110.0152757,159,-82.56369937
159,128.1916057,160,-88.43550024
160,112.7655442,161,-82.88586628
161,108.511225,162,-81.64045876
162,109.3099561,163,-83.10075159
163,113.7410444,164,-82.37147877
164,108.3419717,165,-83.01297218
165,86.25505124,166,-75.01544168
166,120.8138604,167,-86.63569546
167,109.4233773,168,-82.14367984
168,89.78682284,169,-75.90814056
169,118.981308,170,-86.0517716
170,106.8977062,171,-80.82716447
171,96.6295754,172,-78.21698389
172,94.33826257,173,-78.15380185
173,110.8110786,174,-83.81149829
174,122.8180088,175,-85.61646657
175,105.1037091,176,-81.54392387
176,90.01195705,177,-76.36203026
177,110.3263055,178,-82.83769644
178,103.7251342,179,-80.42245974
179,111.7606637,180,-82.54028306
180,117.2886286,181,-84.36737921
181,122.914202,182,-86.9109224
182,117.0255246,183,-86.96223524
183,135.7505124,184,-90.8992777
184,119.8559297,185,-85.75545144
185,109.0600293,186,-81.91659346
186,101.8062469,187,-81.10854075
187,123.0477306,188,-86.82646169
188,97.74363104,189,-78.73312836
189,101.4875061,190,-80.66454856
190,94.97554905,191,-77.7957345
191,104.9187408,192,-82.41722792
192,151.9870669,193,-98.80092728
193,101.6898975,194,-80.96707662
194,105.2564666,195,-81.91713031
195,107.7803319,196,-81.98304539
196,102.6451928,197,-79.29404588
197,149.0207418,198,-95.04216691
198,134.127184,199,-90.07913128
199,143.2177648,200,-93.29735481
200,194.7297218,201,-108.1571401
201,167.819961,202,-98.99596877
202,157.3836506,203,-96.63818448
203,183.1743289,204,-104.1055051
204,168.5237677,205,-99.18378721
205,151.4536359,206,-91.6068326
206,187.2032211,207,-103.3093021
207,129.3727184,208,-85.41477794
208,182.4579795,209,-104.3162811
209,170.1696925,210,-100.4792972
210,194.7347487,211,-107.0551977
211,197.3881406,212,-107.2061103
212,212.2464617,213,-112.231918
213,206.3432406,214,-111.2239727
214,175.2884822,215,-100.1746901
215,171.4236701,216,-101.0438458
216,194.7705222,217,-108.5992777
217,194.0420205,218,-105.9364763
218,195.2277696,219,-105.9715373
219,157.8944851,220,-94.64559297
220,197.5877989,221,-106.1205271
221,182.9261591,222,-101.1460615
222,175.6751098,223,-98.98039043
223,151.0245974,224,-92.98841386
224,195.3681796,225,-104.592123
225,210.8802831,226,-109.5387897
226,184.1898975,227,-103.4573158
227,222.8718887,228,-114.574817
228,226.2859932,229,-115.806735
229,261.7340654,230,-126.9823036
230,231.7160078,231,-117.0685408
231,195.3115178,232,-105.9703856
232,210.645632,233,-107.9188189
233,205.7513909,234,-108.8896242
234,254.0908248,235,-123.1089995
235,195.6362128,236,-104.7025085
236,214.0684236,237,-111.0548951
237,242.5060517,238,-121.0256027
238,323.2153245,239,-154.3920351
239,271.2938019,240,-130.5897511
240,244.2024402,241,-122.9215813
241,220.5908736,242,-115.8073597
242,231.7710102,243,-118.8738507
243,250.5852123,244,-125.0090971
244,244.3059541,245,-122.2868033
245,239.1889702,246,-118.6543582
246,274.4634944,247,-129.3817862
247,301.359102,248,-137.1632113
248,280.1737921,249,-132.9130991
249,250.4393363,250,-121.7643143
250,206.2665691,251,-111.8494778
251,243.9303075,252,-123.5306393
252,269.7469497,253,-129.0068814
253,241.1302587,254,-120.2827526
254,242.8708638,255,-122.6676232
255,242.0365056,256,-122.5488629
256,267.1682772,257,-128.3289995
257,246.5246462,258,-125.0810639
258,270.1140068,259,-136.3647828
