,Lost Data,Number of Iterations,Reward
0,284.9167399,1,-140.0596681
1,282.7587604,2,-139.3421571
2,280.7301611,3,-138.5499951
3,281.6472914,4,-138.9612592
4,279.3307955,5,-138.0124549
5,281.4348951,6,-138.7913812
6,283.536652,7,-139.5586335
7,285.1379697,8,-140.1693899
8,281.6125427,9,-138.9041679
9,283.8711079,10,-139.6082284
10,283.5751586,11,-139.5679356
11,283.2584675,12,-139.5115373
12,280.6485115,13,-138.514407
13,284.9999512,14,-140.1090581
14,281.8083455,15,-138.9615032
15,282.1873597,16,-139.0979795
16,282.8279649,17,-139.4701318
17,282.0034651,18,-139.0222255
18,282.7153245,19,-139.2898878
19,361.719961,20,-170.8356174
20,281.9148365,21,-138.9138116
21,280.5041484,22,-138.5464617
22,285.6004392,23,-140.2919082
23,281.0818936,24,-138.5364666
24,284.1525134,25,-139.7852123
25,282.7289898,26,-139.3175598
26,282.7322108,27,-139.2983504
27,282.866325,28,-139.2785456
28,283.0413372,29,-139.4754417
29,282.5174719,30,-139.1416886
30,281.8019522,31,-138.926491
31,281.4376281,32,-138.7873499
32,282.4810151,33,-139.1107565
33,284.3493411,34,-139.9293411
34,283.1937531,35,-139.3480234
35,280.2131772,36,-138.3280722
36,283.411225,37,-139.5782528
37,282.7607613,38,-139.2187506
38,282.2634456,39,-139.0861981
39,281.5066862,40,-138.8193655
40,283.4191801,41,-139.5765544
41,282.849634,42,-139.3135969
42,282.8951196,43,-139.3015325
43,283.5491459,44,-139.5694876
44,413.3933626,45,-191.5833089
45,281.104978,46,-138.7174915
46,283.7246462,47,-139.4757052
47,282.4780869,48,-139.210122
48,283.7612006,49,-139.7472816
49,283.5376281,50,-139.4628795
50,283.5771596,51,-139.6070473
51,283.6030747,52,-139.4780771
52,281.4163982,53,-138.7202928
53,284.2688141,54,-139.8585749
54,282.0361152,55,-139.0921425
55,281.152611,56,-138.7070181
56,281.9710102,57,-139.0416984
57,282.3662762,58,-139.1917521
58,284.8202538,59,-140.0791508
59,282.8041484,60,-139.3471352
60,284.9863836,61,-140.0904539
61,282.9077599,62,-139.3021962
62,283.0902391,63,-139.3727477
63,282.3449488,64,-139.0387604
64,282.5023914,65,-139.2054466
65,284.6052221,66,-139.980449
66,282.8826745,67,-139.3451147
67,281.1584675,68,-138.6388385
68,283.2964373,69,-139.6196974
69,284.0510981,70,-139.8827623
70,280.9734505,71,-138.68245
71,281.0843338,72,-138.6965447
72,282.6402147,73,-139.2107955
73,283.8530503,74,-139.6681113
74,283.3707174,75,-139.552777
75,281.7714007,76,-138.9020693
76,282.6296242,77,-139.1365251
77,281.856857,78,-138.8967204
78,410.9554905,79,-190.4976184
79,281.5735969,80,-138.8065983
80,282.6618838,81,-139.1665105
81,283.7081503,82,-139.5813568
82,282.9267448,83,-139.2136457
83,282.5751098,84,-139.2952953
84,283.3550512,85,-139.6102001
85,421.2508541,86,-194.7826745
86,283.0635432,87,-139.4394241
87,282.9020986,88,-139.2530796
88,281.745388,89,-138.9448609
89,283.1615422,90,-139.4259151
90,283.1046364,91,-139.4534212
91,280.981796,92,-138.7006735
92,282.8483163,93,-139.3909126
93,282.6989751,94,-139.3158028
94,283.8036603,95,-139.7301025
95,283.02245,96,-139.4046852
96,284.0329429,97,-139.7954612
97,284.2285993,98,-139.967672
98,281.5913128,99,-138.8049
99,280.9847243,100,-138.5749536
100,282.4361152,101,-139.201142
101,283.3203514,102,-139.5819229
102,319.1654954,103,-153.9199805
103,282.6105905,104,-139.1652709
104,284.2602733,105,-139.825632
105,283.3400195,106,-139.4094583
106,419.2816984,107,-193.9457199
107,283.0839922,108,-139.394651
108,281.1130307,109,-138.7814739
109,283.3944363,110,-139.5837384
110,282.8844314,111,-139.3536262
111,282.4879453,112,-139.2118692
112,282.5940947,113,-139.2396877
113,283.3818936,114,-139.6263055
114,281.9195217,115,-138.8671254
115,282.945388,116,-139.4307174
116,283.904978,117,-139.6737531
117,285.3699366,118,-140.0908736
118,282.3787213,119,-139.1144949
119,284.1335774,120,-139.8532845
120,281.7575403,121,-138.9648511
121,281.795266,122,-138.9321132
122,282.3308443,123,-139.1219424
123,283.3576379,124,-139.4726306
124,282.1656418,125,-139.0692826
125,281.8548072,126,-139.0584187
126,282.8326989,127,-139.2577745
127,282.4731088,128,-139.2208199
128,281.8511469,129,-138.9386042
129,282.6427526,130,-139.3726208
130,283.6351879,131,-139.6802831
131,413.9289409,132,-191.7314104
132,285.0225964,133,-140.196447
133,284.0417277,134,-139.7933626
134,283.2724256,135,-139.6325427
135,283.7170815,136,-139.628121
136,281.1760859,137,-138.7830259
137,282.6551,138,-139.1489117
138,281.5025866,139,-138.8301708
139,282.0866276,140,-139.0320644
140,283.4003904,141,-139.6254075
